smiles,logS,weight
CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09,1.0
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,1.0
CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,-2.99,1.0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.77,0.5
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.64,0.5
CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,-3.21,1.0
CC1CCC(C(C)C)C(=O)C1,-2.49,1.0
CC1CCC(C(C)C)C(O)C1,-2.53,1.0
CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,-7.32,1.0
CC1CCCCC1=O,-0.94,1.0
CC1CCCCC1C,-4.33,0.5
CC1CCCCC1C,-4.27,0.5
CC1CCCCC1NC(=O)Nc1ccccc1,-4.11,1.0
CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,-2.87,1.0
CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.95,1.0
CC=CC=CC(=O)O,-1.77,1.0
CC=CC=O,0.32,1.0
CC=CCC,-2.54,1.0
CC=CCC#N,-0.96,1.0
CC=CCCCC,-3.82,1.0
CC=Cc1ccc(OC)cc1,-3.13,1.0
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.35,1.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,-3.71,1.0
CCC(=O)Nc1ccccc1,-1.92,1.0
CCC(C)=O,0.52,1.0
CCC(C)C(C)(C)O,-0.89,1.0
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-3.38,1.0
CCC(CC)C(=O)O,-0.81,1.0
CCC(CC)CO,-1.17,1.0
CCC(N)C(=O)O,0.31,1.0
CCC(N)Cc1c[nH]c2ccccc12,-2.57,1.0
CCC(O)(CC)CC,-0.85,1.0
CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.43,1.0
CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21,1.0
CCC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O,-2.64,1.0
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,1.0
CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,-3.0,1.0
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.34,1.0
CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,1.0
CCC1(c2ccccc2)CCC(=O)NC1=O,-2.34,1.0
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,-2.82,1.0
CCC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-2.63,1.0
CCC1NC(=O)NC1=O,-0.06,1.0
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.29,1.0
CCCC(=O)O,-0.19,1.0
CCCC(C(C)=O)C(C)=O,-0.88,1.0
CCCC(C)=O,-0.19,1.0
CCCC(C)CO,-1.11,1.0
CCCC(CCC)C(=O)O,-1.86,1.0
CCCC1CCCCN1,-1.5,1.0
CCCCC(=O)CC(C)=O,-1.56,1.0
CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.71,1.0
CCCCC(C)=O,-0.8,1.0
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,-3.73,1.0
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.81,1.0
CCCCCC(=O)O,-1.06,1.0
CCCCCC=O,-1.3,1.0
CCCCCCCC(=O)O,-2.3,1.0
CCCCCCCCC(=O)O,-2.75,1.0
CCCCCCCCCC(=O)O,-3.44,1.0
CCCCCCCCCCC(=O)O,-3.55,1.0
CCCCCCCCCCCC(=O)O,-4.62,1.0
CCCCCCCCCCCC(=O)OC,-4.69,1.0
CCCCCCCCCCCCCC(=O)O,-5.33,1.0
CCCCCCCCCCCCCCC(=O)O,-4.31,1.0
CCCCCCCCCCCCCCCC(=O)O,-6.81,1.0
CCCCCCCCCCCCCCCCCC(=O)O,-5.68,1.0
CCCCCCCCOC(N)=O,-3.3,1.0
CCCCCCCOC(N)=O,-2.62,1.0
CCCCCCOC(N)=O,-1.92,1.0
CCCCCNCCOC(=O)c1ccc(N)cc1,-3.27,1.0
CCCCCOC(N)=O,-1.47,1.0
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.53,1.0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-3.39,1.0
CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,-2.18,1.0
CCCCNC(=O)NS(=O)(=O)c1ccccc1,-3.05,1.0
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,-5.64,1.0
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,-3.7,1.0
CCCCOc1ccc(C(=O)OCCN(CC)CC)cc1,-3.84,1.0
CCCCSP(=O)(SCCCC)SCCCC,-5.14,1.0
CCCCc1c(C)nc(N(C)C)nc1O,-2.24,1.0
CCCCc1c(C)nc(NCC)nc1O,-3.02,1.0
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-4.16,1.0
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.68,1.0
CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],-5.16,1.0
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,-3.03,1.0
CCCOC(C)=O,-0.72,1.0
CCCOC=O,-0.49,1.0
CCC[N+](=O)[O-],-0.8,1.0
CCCc1cc(=O)[nH]c(=S)[nH]1,-2.15,1.0
CCN(CC)CC(=O)Nc1c(C)cccc1C,-1.76,1.0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,-3.18,1.0
CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.4,1.0
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,1.0
CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06,1.0
CCNc1nc(Cl)nc(NC(C)C)n1,-3.55,1.0
CCNc1nc(Cl)nc(NCC)n1,-4.55,1.0
CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,-3.66,1.0
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-1.89,1.0
CCOC(=O)C=Cc1ccccc1,-3.0,1.0
CCOC(=O)CC,-0.66,1.0
CCOC(=O)CC(=O)OCC,-0.82,1.0
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.36,1.0
CCOC(=O)c1ccc(N)cc1,-2.32,1.0
CCOC(=O)c1ccc(O)cc1,-2.35,1.0
CCOC(=O)c1ccccc1C(=O)OCC,-2.35,1.0
CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.42,1.0
CCOP(=O)(OCC)OCC,0.43,1.0
CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.35,1.0
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.76,1.0
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-4.29,1.0
CCOP(=S)(OCC)Oc1ccc([S+](C)[O-])cc1,-2.3,1.0
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,-5.38,1.0
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.67,1.0
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,1.0
CCOP(=S)(OCC)SCCSCC,-4.23,1.0
CCOP(=S)(OCC)SCSCC,-4.11,1.0
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,1.0
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.74,1.0
CCOc1ccc(C(=O)OCCN(CC)CC)cc1,-2.71,1.0
CCOc1ccc(NC(C)=O)cc1,-2.37,1.0
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-3.81,1.0
CCS(=O)(=O)CC,0.04,1.0
CCc1ccc(CC)cc1,-3.75,1.0
CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73,1.0
CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26,1.0
CCc1ccccc1,-2.77,1.0
CCc1cccs1,-2.59,1.0
CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-1.94,1.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,-3.37,1.0
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,-2.98,1.0
CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.98,1.0
CN(C)C(=O)NC1CC2CC1C1CCCC21,-3.01,1.0
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,1.0
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43,1.0
CN(C)C1C(O)=C(C(=O)NCN2CCCC2)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-1.42,1.0
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-2.88,1.0
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,-2.52,1.0
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,-3.14,1.0
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-3.12,1.0
CN(C)CCC=C1c2ccccc2CCc2ccccc21,-4.46,1.0
CN(C)CCC=C1c2ccccc2COc2ccccc21,-3.4,1.0
CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.19,1.0
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,-5.3,1.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-5.01,1.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,-4.3,1.0
CN(C)CCN(Cc1ccccc1)c1ccccn1,-2.64,1.0
CN(C)CCN(Cc1cccs1)c1ccccn1,-2.64,1.0
CN(C)NC(=O)CCC(=O)O,-0.2,1.0
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-3.76,1.0
CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-3.8,1.0
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.16,1.0
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-0.48,1.0
CN1C2CCC1C(C(=O)O)C(O)C2,-0.02,1.0
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-2.12,0.5
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-1.91,0.5
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,-3.28,1.0
CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,-4.74,1.0
CN1CCCC1c1cccnc1,0.79,1.0
CN1CCCCC1,0.23,1.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-4.52,1.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.4,1.0
CN1c2ccccc2Sc2ccc(CC(=O)O)cc21,-3.94,1.0
CNC(=NC#N)NCCSCc1nc[nH]c1C,-1.35,1.0
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62,1.0
CNC(=O)ON=C1C(Cl)C2CC(C#N)C1C2,-2.08,1.0
CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.24,1.0
CNC(=O)Oc1ccccc1C1OCCO1,-1.57,1.0
CNC(C)C(O)c1ccccc1,-0.42,1.0
CNCCCN1c2ccccc2CCc2ccccc21,-3.66,1.0
CNc1ccccc1C(=O)O,-2.88,1.0
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.04,1.0
COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21,-4.18,1.0
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,-2.23,1.0
COC(=O)C1C2C=CC(C2)C1C(=O)OC,-1.2,1.0
COC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.66,1.0
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,-3.88,1.0
COC(=O)c1ccc(OC)cc1,-2.41,1.0
COC(C)=O,0.52,1.0
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-4.61,1.0
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.6,1.0
CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57,1.0
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22,1.0
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09,1.0
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72,1.0
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,1.0
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,1.0
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04,1.0
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,-3.68,1.0
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.31,1.0
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,-4.82,1.0
COc1c(Cl)ccc(Cl)c1C(=O)O,-1.7,1.0
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02,1.0
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,-2.4,1.0
COc1c2occc2cc2ccc(=O)oc12,-3.66,1.0
COc1cc(C(=O)O)ccc1O,-2.05,1.0
COc1cc(Cl)c(Cl)cc1O,-2.53,1.0
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.54,1.0
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,-2.96,1.0
COc1cc(O)c2c(=O)c3cc(O)ccc3oc2c1,-2.93,1.0
COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,-2.09,1.0
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.6,1.0
