ID,Name,InChI,InChIKey,SMILES,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
A-2966,"disodium 3-[(E)-2-(5-chloro-2-phenoxyphenyl)diazen-1-yl]-4-hydroxy-5-(4-methylbenzenesulfonamido)naphthalene-2,7-disulfonate","InChI=1S/C29H22ClN3O10S3.2Na/c1-17-7-10-21(11-8-17)44(35,36)33-24-16-22(45(37,38)39)13-18-14-26(46(40,41)42)28(29(34)27(18)24)32-31-23-15-19(30)9-12-25(23)43-20-5-3-2-4-6-20;;/h2-16,31,33H,1H3,(H,37,38,39)(H,40,41,42);;/q;2*+1/p-2/b32-28+;;",UHSRCNCAJFUQHB-RTFAEJQKSA-L,[Na+].[Na+].Cc1ccc(cc1)[S](=O)(=O)Nc2cc(cc3C=C(C(=N/Nc4cc(Cl)ccc4Oc5ccccc5)\C(=O)c23)[S]([O-])(=O)=O)[S]([O-])(=O)=O,-0.6679306861,0.0,1,G1,748.1240000000004,-1.2958799999999928,167.42309999999978,48.0,12.0,2.0,19.0,9.0,238.0,4.0,0.0,1.0,5.0,211.26,325.12032571162223,3.124995880917133e-06,2284.6635858960376
B-2624,prallethrin,"InChI=1S/C19H24O3/c1-7-8-13-12(4)16(10-15(13)20)22-18(21)17-14(9-11(2)3)19(17,5)6/h1,9,14,16-17H,8,10H2,2-6H3/t14-,16?,17+/m0/s1",SMKRKQBMYOFFMU-DRXWIORDSA-N,CC(C)=C[C@H]1[C@H](C(=O)OC2CC(=O)C(=C2C)CC#C)C1(C)C,-4.5746,0.0,1,G1,300.398,3.449200000000002,85.84600000000005,22.0,3.0,0.0,3.0,4.0,118.0,0.0,1.0,2.0,2.0,43.370000000000005,132.35315553699522,2.072272288421603,609.0817788358146
A-4960,"1-(5,5-dimethylcyclohex-1-en-1-yl)pent-4-en-1-one","InChI=1S/C13H20O/c1-4-5-8-12(14)11-7-6-9-13(2,3)10-11/h4,7H,1,5-6,8-10H2,2-3H3",OEVIJAZJVZDBQL-UHFFFAOYSA-N,CC1(C)CCC=C(C1)C(=O)CCC=C,-3.5342474855000003,0.0,1,G1,192.302,3.6582000000000026,60.15300000000004,14.0,1.0,0.0,1.0,4.0,78.0,0.0,0.0,1.0,1.0,17.07,86.89504128273488,2.5548931602878104,258.40912820819807
B-1685,daminozide,"InChI=1S/C6H12N2O3/c1-8(2)7-5(9)3-4-6(10)11/h3-4H2,1-2H3,(H,7,9)(H,10,11)",NOQGZXFMHARMLW-UHFFFAOYSA-N,CN(C)NC(=O)CCC(O)=O,-0.2046,0.0,1,G1,160.173,-0.556,38.69949999999999,11.0,3.0,2.0,5.0,4.0,64.0,0.0,0.0,0.0,0.0,69.64000000000001,64.96107142614252,3.454102565319672,155.90638535044312
A-3831,Methyl morpholine oxide,"InChI=1S/C5H11NO2/c1-6(7)2-4-8-5-3-6/h2-5H2,1H3",LFTLOKWAGJYHHR-UHFFFAOYSA-N,C[N+]1([O-])CCOCC1,0.4563099285,0.0,1,G1,117.148,-0.0390000000000001,30.104399999999984,8.0,2.0,0.0,3.0,0.0,48.0,0.0,1.0,1.0,1.0,32.29,49.02481096986632,2.327882879407043,74.49785513558373
B-972,glycocholic acid,"InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)/t14-,15+,16-,17-,18+,19+,20-,21+,24+,25+,26-/m1/s1",RFDAIACWWDREDC-FRVQLJSFSA-N,C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,-5.1495,0.0,1,G1,465.6310000000003,2.564899999999999,123.04690000000006,33.0,5.0,5.0,7.0,6.0,188.0,0.0,4.0,4.0,4.0,127.09000000000002,196.88932066610744,1.4868660433893963,759.0641407508059
A-3893,4-[(4-amino-3-methylcyclohexyl)methyl]-2-methylcyclohexan-1-amine,"InChI=1S/C15H30N2/c1-10-7-12(3-5-14(10)16)9-13-4-6-15(17)11(2)8-13/h10-15H,3-9,16-17H2,1-2H3",IGSBHTZEJMPDSZ-UHFFFAOYSA-N,CC1CC(CCC1N)CC2CCC(N)C(C)C2,-1.8210383613,0.1314349313511943,3,G5,238.419,2.903500000000001,73.57780000000005,17.0,2.0,2.0,2.0,2.0,100.0,0.0,2.0,2.0,2.0,52.04,106.51655971634902,1.7754724185565798,217.07631885586423
B-2052,2-buten-1-ol (cis),"InChI=1S/C4H8O/c1-2-3-4-5/h2-3,5H,4H2,1H3/b3-2-",WCASXYBKJHWFMY-IHWYPQMZSA-N,C\C=C/CO,0.3621,0.3899500000000001,2,G3,72.107,0.5548,21.899799999999995,5.0,1.0,1.0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,20.23,31.938708091031128,2.622415807990217,30.62919048309069
B-2762,"3,3',4,4',5,5'-pcb",InChI=1S/C12H4Cl6/c13-7-1-5(2-8(14)11(7)17)6-3-9(15)12(18)10(16)4-6/h1-4H,ZHLICBPIXDOFFG-UHFFFAOYSA-N,Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2,-8.8498,0.0,1,G1,360.88200000000006,7.274000000000001,81.938,18.0,0.0,0.0,6.0,1.0,94.0,2.0,0.0,0.0,2.0,0.0,134.308094686851,2.625182066053657,518.4500798683472
B-1409,3-chloro-1-propanol,"InChI=1S/C3H7ClO/c4-2-1-3-5/h5H,1-3H2",LAMUXTNQCICZQX-UHFFFAOYSA-N,OCCCCl,0.4223,0.0,1,G1,94.541,0.6075999999999999,22.42279999999999,5.0,1.0,1.0,2.0,2.0,32.0,0.0,0.0,0.0,0.0,20.23,36.566635235700446,2.19060968716425,14.364527976600282
F-128,N-diethylsulfinamoyl-N-ethylethanamine,"InChI=1S/C8H20N2OS/c1-5-9(6-2)12(11)10(7-3)8-4/h5-8H2,1-4H3",BVVRZSKVUVJJAJ-UHFFFAOYSA-N,CCN(CC)S(=O)N(CC)CC,-1.28,0.0,1,G1,192.328,1.2487,53.98440000000004,12.0,1.0,0.0,4.0,6.0,74.0,0.0,0.0,0.0,0.0,23.550000000000004,78.45852239384544,4.12243352441181,119.01955000865388
A-4348,"sodium (2R)-2-[(1R)-1,2-dihydroxyethyl]-4-hydroxy-5-oxo-2,5-dihydrofuran-3-olate","InChI=1S/C6H7O6.Na/c7-1-2(8)5-3(9)4(10)6(11)12-5;/h2,5,8,10-11H,1H2;/q-1;+1/t2-,5-;/m1./s1",QNSCGSPRKIPKTN-RKJRWTFHSA-N,[Na+].O[C@H](C[O-])[C@H]1OC(=C(O)C1=O)O,-0.1325447734,0.0,1,G1,198.106,-5.0353999999999965,33.03739999999999,13.0,6.0,3.0,7.0,2.0,68.0,0.0,0.0,1.0,1.0,110.05,95.73392937514576,1.4399996082001103e-06,237.2789758159165
B-3243,"4(1h)-pteridinone, hydrazone","InChI=1S/C6H6N6/c7-12-6-4-5(10-3-11-6)9-2-1-8-4/h1-3H,7H2,(H,9,10,11,12)",IDWVTPLLYFMNEX-UHFFFAOYSA-N,NN=C1N=CNc2nccnc12,-1.8632,0.0,1,G1,162.156,-0.8726999999999998,41.4341,12.0,5.0,2.0,6.0,0.0,60.0,2.0,0.0,0.0,2.0,92.84,67.19700877812603,2.987333469167801,453.2950056993626
A-1475,"octadecane-1,12-diol","InChI=1S/C18H38O2/c1-2-3-4-12-15-18(20)16-13-10-8-6-5-7-9-11-14-17-19/h18-20H,2-17H2,1H3",KHLCTMQBMINUNT-UHFFFAOYSA-N,CCCCCCC(O)CCCCCCCCCCCO,-5.1560946306,0.1505149978499997,2,G3,286.4999999999999,5.211000000000006,88.02160000000008,20.0,2.0,2.0,2.0,16.0,122.0,0.0,0.0,0.0,0.0,40.46,126.53173447696396,3.071711360094435,170.80115738264186
A-1801,cadmium(2+) ion sulfanediide,InChI=1S/Cd.S,CJOBVZJTOIVNNF-UHFFFAOYSA-N,S=[Cd],-4.080623481,0.0,1,G1,144.479,0.6457,7.591,2.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,32.37979012814488,2.0,2.0
A-6014,4-[[2-methoxy-4-[(4-nitrophenyl)azo]phenyl]azo]phenol,"InChI=1S/C19H15N5O4/c1-28-19-12-15(22-20-13-2-7-16(8-3-13)24(26)27)6-11-18(19)23-21-14-4-9-17(25)10-5-14/h2-12,23H,1H3",HGDFMYGFWUSBQH-UHFFFAOYSA-N,COc1cc(ccc1NN=C2C=CC(=O)C=C2)N=Nc3ccc(cc3)[N+]([O-])=O,-6.9639720065,0.0,1,G1,377.3600000000001,4.481800000000003,104.6111,28.0,8.0,1.0,9.0,6.0,140.0,2.0,0.0,1.0,3.0,118.55,159.44819649468218,1.7250682858296624,1005.1195476279096
A-5531,"2,6-di-tert-butyl-4-[(3,5-di-tert-butyl-4-hydroxyphenyl)methyl]phenol","InChI=1S/C29H44O2/c1-26(2,3)20-14-18(15-21(24(20)30)27(4,5)6)13-19-16-22(28(7,8)9)25(31)23(17-19)29(10,11)12/h14-17,30-31H,13H2,1-12H3",MDWVSAYEQPLWMX-UHFFFAOYSA-N,CC(C)(C)c1cc(Cc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,-8.6280505595,1.1554355991762792,3,G4,424.6690000000002,7.878600000000009,133.8196,31.0,2.0,2.0,2.0,2.0,172.0,2.0,0.0,0.0,2.0,40.46,190.2809807746954,2.7336535006709792,802.6777478129438
B-1997,"o,p'-dde",InChI=1S/C14H8Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8H,ZDYJWDIWLRZXDB-UHFFFAOYSA-N,Clc1ccc(cc1)C(=C(Cl)Cl)c2ccccc2Cl,-6.3563,0.0,1,G1,318.03,6.187900000000002,80.63200000000002,18.0,0.0,0.0,4.0,2.0,92.0,2.0,0.0,0.0,2.0,0.0,125.74184342969664,2.5901616570734314,580.9979162169988
B-2154,"phenol, 2-methyl-5-nitro-","InChI=1S/C7H7NO3/c1-5-2-3-6(8(10)11)4-7(5)9/h2-4,9H,1H3",UMFDLIXUUJMPSI-UHFFFAOYSA-N,Cc1ccc(cc1O)[N+]([O-])=O,-2.1851,0.0,1,G1,153.137,1.60882,39.49820000000002,11.0,3.0,1.0,4.0,1.0,58.0,1.0,0.0,0.0,1.0,63.37,63.243554708589386,3.1515496683060507,295.73720227422257
C-1256,carbendazim; methyl n-(benzimidazol-2-yl)carbamate; 2-(methoxycarbonylamino)benzimidazole,"InChI=1S/C9H9N3O2/c1-14-9(13)12-8-10-6-4-2-3-5-7(6)11-8/h2-5H,1H3,(H2,10,11,12,13)",TWFZGCMQGLPBSX-UHFFFAOYSA-N,COC(=O)NC1=NC2=CC=CC=C2[NH]1,-4.52,0.0,1,G1,191.19000000000003,1.7411999999999996,52.12140000000001,14.0,3.0,2.0,5.0,1.0,72.0,2.0,0.0,0.0,2.0,67.00999999999999,80.09668979514488,2.3104906039484137,430.77993566168897
B-2319,"2,3-dichlorobutane","InChI=1S/C4H8Cl2/c1-3(5)4(2)6/h3-4H,1-2H3",RMISVOPUIFJTEO-UHFFFAOYSA-N,CC(Cl)C(C)Cl,-2.3541,0.1729500000000001,2,G3,127.014,2.2410000000000005,30.62999999999999,6.0,0.0,0.0,2.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,48.440609824782726,2.993497243478473,26.52932501298081
A-5160,"1,1,3,3-tetramethylguanidine","InChI=1S/C5H13N3/c1-7(2)5(6)8(3)4/h6H,1-4H3",KYVBNYUBXIEUFW-UHFFFAOYSA-N,CN(C)C(=N)N(C)C,0.9386229258,0.0,1,G1,115.18,0.0443699999999998,35.1007,8.0,1.0,1.0,3.0,0.0,48.0,0.0,0.0,0.0,0.0,30.330000000000005,50.40403782508751,3.65123357893369,75.67457204070746
C-2054,"styphnic  acid; 1,3-dihydroxy-2,4,6-trinitrobenzene","InChI=1S/C6H3N3O8/c10-5-2(7(12)13)1-3(8(14)15)6(11)4(5)9(16)17/h1,10-11H",IXHMHWIBCIYOAZ-UHFFFAOYSA-N,OC1=C(C(=C(C=C1[N+]([O-])=O)[N+]([O-])=O)O)[N+]([O-])=O,-3.51,0.92415,2,G2,245.103,0.8224000000000007,49.7348,17.0,8.0,2.0,11.0,3.0,90.0,1.0,0.0,0.0,1.0,169.88,90.9787977913884,3.756255091963572,500.3023207284412
B-2832,heptachlorodibenzo-p-dioxin,InChI=1S/C12HCl7O2/c13-2-1-3-10(7(17)4(2)14)21-12-9(19)6(16)5(15)8(18)11(12)20-3/h1H,WCLNVRQZUKYVAI-UHFFFAOYSA-N,Clc1cc2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2c(Cl)c1Cl,-11.4795,0.1645308144053537,3,G5,425.3090000000002,8.1584,88.102,21.0,2.0,0.0,9.0,0.0,110.0,2.0,0.0,1.0,3.0,18.46,153.8326202192172,2.271270332623313,788.3961265209693
A-718,"N,N-dipropylpropan-1-amine","InChI=1S/C9H21N/c1-4-7-10(8-5-2)9-6-3/h4-9H2,1-3H3",YFTHZRPMJXBUME-UHFFFAOYSA-N,CCCN(CCC)CCC,-2.4722202552000003,0.0992761758238562,3,G5,143.27399999999997,2.5184000000000006,47.31300000000002,10.0,1.0,0.0,1.0,6.0,62.0,0.0,0.0,0.0,0.0,3.24,65.41862161320577,3.2950821163049606,47.48394345536403
A-5491,"3-({3-carboxy-1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-ene-2-carbonyloxy}carbonyl)-1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-ene-2-carboxylic acid","InChI=1S/C9H2Cl6O3/c10-3-4(11)8(13)2-1(5(16)18-6(2)17)7(3,12)9(8,14)15/h1-2H",FLBJFXNAEMSXGL-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3C(C(=O)OC3=O)C1(Cl)C2(Cl)Cl,-5.1712348525,1.1500802684999998,2,G2,370.83,3.1477000000000004,68.41600000000001,18.0,3.0,0.0,9.0,0.0,98.0,0.0,2.0,3.0,3.0,43.370000000000005,131.20787824111494,2.3675748433094816,498.4210625757215
A-4414,"N-(6-amino-1,3-dimethyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)formamide","InChI=1S/C7H10N4O3/c1-10-5(8)4(9-3-12)6(13)11(2)7(10)14/h3H,8H2,1-2H3,(H,9,12)",ZNDGAXCBZGSJGU-UHFFFAOYSA-N,CN1C(=C(NC=O)C(=O)N(C)C1=O)N,-1.1831208545999998,0.0,1,G1,198.182,-1.7654999999999994,51.0231,14.0,6.0,2.0,7.0,2.0,76.0,1.0,0.0,0.0,1.0,99.12,78.75978757852252,3.681500353773997,484.93387899182807
A-638,methane; sulfuric acid,"InChI=1S/CH4.H2O4S/c;1-5(2,3)4/h1H4;(H2,1,2,3,4)",LRPCLTPZMUIPFK-UHFFFAOYSA-N,C.O[S](O)(=O)=O,-3.3330935045,0.868691230089373,5,G4,114.122,-0.0166999999999998,20.9084,6.0,2.0,2.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,74.6,36.37695581965344,0.0,90.7164928725825
D-1795,"benzene, 1,2-diiodo-",InChI=1S/C6H4I2/c7-5-3-1-2-4-6(5)8/h1-4H,BBOLNFYSRZVALD-UHFFFAOYSA-N,Ic1ccccc1I,-4.217,0.0114499999999999,2,G3,329.906,2.8958000000000004,51.87600000000002,8.0,0.0,0.0,2.0,0.0,42.0,1.0,0.0,0.0,1.0,0.0,75.95507936158424,3.134861511345448,162.63833891467198
A-2981,"N,N-dimethylcyclohexanamine","InChI=1S/C8H17N/c1-9(2)8-6-4-3-5-7-8/h8H,3-7H2,1-2H3",SVYKKECYCPFKGB-UHFFFAOYSA-N,CN(C)C1CCCCC1,-0.9774881423,0.0,1,G1,127.231,1.8807,40.56000000000001,9.0,1.0,0.0,1.0,1.0,54.0,0.0,1.0,1.0,1.0,3.24,58.04784834527996,2.2283621149350434,72.63682062300136
C-2069,n-(3-chlorophenyl)anthranilic  acid;  3'-chlorofenamic acid,"InChI=1S/C13H10ClNO2/c14-9-4-3-5-10(8-9)15-12-7-2-1-6-11(12)13(16)17/h1-8,15H,(H,16,17)",OVMWPVYEBVFZHM-UHFFFAOYSA-N,OC(=O)C1=CC=CC=C1NC2=CC(=CC=C2)Cl,-5.3,0.0,1,G1,247.681,3.7818000000000014,68.13600000000002,17.0,2.0,2.0,4.0,3.0,86.0,2.0,0.0,0.0,2.0,49.33,103.6623237026871,2.329483875146283,554.6206554225115
A-3896,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid","InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)",UDMBCSSLTHHNCD-UHFFFAOYSA-N,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(O)=O)C(O)C3O,-1.9953026194,0.2273513096999999,2,G3,347.224,-1.8630000000000004,73.65509999999999,23.0,10.0,5.0,13.0,4.0,126.0,2.0,1.0,1.0,3.0,186.07,128.30354975942075,1.8511475274909783,763.1378284373786
C-2529,"4-methyl-5-(4-nitrobenzenesulfonylimido)-delta2-1,3,4-thiadiazoline-2-sulfonamide","InChI=1S/C9H9N5O6S3/c1-13-8(21-9(11-13)22(10,17)18)12-23(19,20)7-4-2-6(3-5-7)14(15)16/h2-5H,1H3,(H2,10,17,18)",NJBKUDDWNAXHHT-UHFFFAOYSA-N,CN1N=C(SC1=N[S](=O)(=O)C2=CC=C(C=C2)[N+]([O-])=O)[S](N)(=O)=O,-2.7,0.0,1,G1,379.4010000000001,-0.6731999999999998,78.30340000000001,23.0,9.0,1.0,14.0,4.0,124.0,2.0,0.0,0.0,2.0,167.62,133.52126441746498,2.5281229181826497,1032.090917985759
B-3391,"hexanamide, n-(aminocarbonyl)-2-ethylidene-","InChI=1S/C9H16N2O2/c1-3-5-6-7(4-2)8(12)11-9(10)13/h4H,3,5-6H2,1-2H3,(H3,10,11,12,13)/b7-4-",AUJBYHKZNPPODV-DAXSKMNVSA-N,CCCC\C(=C\C)C(=O)NC(N)=O,-2.7883,0.0,1,G1,184.239,1.3178,51.00810000000003,13.0,2.0,2.0,4.0,4.0,74.0,0.0,0.0,0.0,0.0,72.19,78.18198199152646,4.090497552075815,221.6545913574689
C-308,tetramethrin; phthaltrin,"InChI=1S/C19H25NO4/c1-11(2)9-14-15(19(14,3)4)18(23)24-10-20-16(21)12-7-5-6-8-13(12)17(20)22/h9,14-15H,5-8,10H2,1-4H3",CXBMCYHAMVGWJQ-UHFFFAOYSA-N,CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,-5.26,0.0,1,G1,331.4120000000001,2.964900000000002,88.49800000000005,24.0,4.0,0.0,5.0,4.0,130.0,0.0,1.0,3.0,3.0,63.68,142.2694547618539,1.61158435496958,638.8542726966778
C-1481,"2,2',3,4,4',5,5'-heptachlorodiphenyl  ether",InChI=1S/C12H3Cl7O/c13-4-1-6(15)8(2-5(4)14)20-9-3-7(16)10(17)12(19)11(9)18/h1-3H,YBYYCWMPXZRBNJ-UHFFFAOYSA-N,ClC1=C(Cl)C=C(OC2=C(Cl)C(=C(Cl)C(=C2)Cl)Cl)C(=C1)Cl,-9.5,0.0,1,G1,411.326,8.0527,88.02799999999999,20.0,1.0,0.0,8.0,2.0,106.0,2.0,0.0,0.0,2.0,9.23,149.72490614323954,2.4805127623456307,684.2365474566768
F-739,3-amino-5-sulfobenzoic acid,"InChI=1S/C7H7NO5S/c8-5-1-4(7(9)10)2-6(3-5)14(11,12)13/h1-3H,8H2,(H,9,10)(H,11,12,13)",ZYIWQQOVIPGGPG-UHFFFAOYSA-N,NC1=CC(S(=O)(=O)O)=CC(C(=O)O)=C1,-0.94,0.0,1,G1,217.202,0.2136999999999996,47.6283,14.0,4.0,3.0,7.0,2.0,76.0,1.0,0.0,0.0,1.0,117.69,79.7206277931867,3.4262226973282406,478.8535635303721
A-4132,benzyl formate,"InChI=1S/C8H8O2/c9-7-10-6-8-4-2-1-3-5-8/h1-5,7H,6H2",UYWQUFXKFGHYNT-UHFFFAOYSA-N,O=COCc1ccccc1,-1.6731198028999998,0.0,1,G1,136.14999999999998,1.3596,37.295000000000016,10.0,2.0,0.0,2.0,3.0,52.0,1.0,0.0,0.0,1.0,26.3,59.43635467784082,2.4987708532837547,193.6723816963364
A-5332,3-oxobutanamide,"InChI=1S/C4H7NO2/c1-3(6)2-4(5)7/h2H2,1H3,(H2,5,7)",GCPWJFKTWGFEHH-UHFFFAOYSA-N,CC(=O)CC(N)=O,0.9952273665,0.0,1,G1,101.105,-0.5492000000000001,24.4924,7.0,2.0,1.0,3.0,2.0,40.0,0.0,0.0,0.0,0.0,60.16,41.49701226811961,3.318019590380522,85.86291712607164
F-864,5-decoxy-2-[(~{E})-~{C}-ethyl-~{N}-hydroxycarbonimidoyl]phenol,"InChI=1S/C19H31NO3/c1-3-5-6-7-8-9-10-11-14-23-16-12-13-17(19(21)15-16)18(4-2)20-22/h12-13,15,21-22H,3-11,14H2,1-2H3",HWOGLWGFRRJDEC-UHFFFAOYSA-N,CCCCCCCCCCOC1=CC(O)=C(C(CC)=NO)C=C1,-4.06,0.0,1,G1,321.461,5.500000000000006,94.82630000000005,23.0,4.0,2.0,4.0,12.0,130.0,1.0,0.0,0.0,1.0,62.05,139.72702432588991,2.243544195135561,471.6825713644642
